# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_rats_kitchen_v1_sgedit_gmod
# Exported by: Werewolf12 #FixTF2
setting:	replacespawns 0
weapon_zm_mac10	-1250.140015 -885.411011 1735.209961	0.000 0.000 85.000
weapon_zm_mac10	-1941.579956 -1045.229980 1351.209961	0.000 0.000 85.000
weapon_zm_mac10	-1412.069946 -1053.790039 1351.209961	0.000 0.000 85.000
weapon_zm_mac10	-1097.530029 -617.104980 1351.209961	0.000 0.000 85.000
weapon_zm_mac10	-2282.360107 -1149.599976 2015.209961	0.000 0.000 85.000
weapon_zm_mac10	-2497.169922 -1241.170044 2015.209961	0.000 0.000 85.000
weapon_zm_mac10	-2305.770020 -663.693970 1767.209961	0.000 0.000 85.000
weapon_zm_mac10	-2536.820068 -1614.140015 1759.209961	0.000 0.000 85.000
weapon_zm_mac10	-2396.489990 -508.807007 2135.209961	0.000 0.000 85.000
weapon_zm_mac10	-1371.329956 -1620.119995 2347.209961	0.000 0.000 85.000
weapon_zm_mac10	-2287.020020 -854.419006 1471.209961	0.000 0.000 85.000
weapon_zm_mac10	-378.936005 -213.783005 2035.209961	0.000 0.000 85.000
weapon_zm_mac10	-965.969971 5.177860 1735.209961	0.000 0.000 85.000
weapon_zm_mac10	-1265.459961 -134.421997 1735.209961	0.000 0.000 85.000
weapon_zm_mac10	-1056.119995 200.050995 1434.209961	0.000 0.000 85.000
weapon_zm_mac10	-437.907013 199.195999 1451.209961	0.000 0.000 85.000
weapon_zm_mac10	-377.618011 -130.832001 2279.209961	0.000 0.000 85.000
weapon_zm_mac10	-346.859009 -1372.099976 1711.209961	0.000 0.000 85.000
weapon_zm_mac10	-501.786011 -1552.439941 1711.209961	0.000 0.000 85.000
weapon_zm_mac10	-332.209991 -1231.089966 1375.209961	0.000 0.000 85.000
weapon_zm_mac10	-342.148010 -951.591003 1375.209961	0.000 0.000 85.000
weapon_zm_mac10	-841.247986 -1431.000000 1351.209961	0.000 0.000 85.000
weapon_zm_mac10	-1250.140015 -885.411011 1735.209961	0.000 0.000 85.000
weapon_zm_mac10	-1941.579956 -1045.229980 1351.209961	0.000 0.000 85.000
weapon_zm_mac10	-1412.069946 -1053.790039 1351.209961	0.000 0.000 85.000
weapon_zm_mac10	-1097.530029 -617.104980 1351.209961	0.000 0.000 85.000
weapon_zm_mac10	-2282.360107 -1149.599976 2015.209961	0.000 0.000 85.000
weapon_zm_mac10	-2497.169922 -1241.170044 2015.209961	0.000 0.000 85.000
weapon_zm_mac10	-2305.770020 -663.693970 1767.209961	0.000 0.000 85.000
weapon_zm_mac10	-2536.820068 -1614.140015 1759.209961	0.000 0.000 85.000
weapon_zm_mac10	-2396.489990 -508.807007 2135.209961	0.000 0.000 85.000
weapon_zm_mac10	-1371.329956 -1620.119995 2347.209961	0.000 0.000 85.000
weapon_zm_mac10	-2287.020020 -854.419006 1471.209961	0.000 0.000 85.000
weapon_zm_mac10	-378.936005 -213.783005 2035.209961	0.000 0.000 85.000
weapon_zm_mac10	-965.969971 5.177860 1735.209961	0.000 0.000 85.000
weapon_zm_mac10	-1265.459961 -134.421997 1735.209961	0.000 0.000 85.000
weapon_zm_mac10	-1056.119995 200.050995 1434.209961	0.000 0.000 85.000
weapon_zm_mac10	-437.907013 199.195999 1451.209961	0.000 0.000 85.000
weapon_zm_mac10	-377.618011 -130.832001 2279.209961	0.000 0.000 85.000
weapon_zm_mac10	-346.859009 -1372.099976 1711.209961	0.000 0.000 85.000
weapon_zm_mac10	-501.786011 -1552.439941 1711.209961	0.000 0.000 85.000
weapon_zm_mac10	-332.209991 -1231.089966 1375.209961	0.000 0.000 85.000
weapon_zm_mac10	-342.148010 -951.591003 1375.209961	0.000 0.000 85.000
weapon_zm_mac10	-841.247986 -1431.000000 1351.209961	0.000 0.000 85.000
weapon_zm_mac10	-1250.140015 -885.411011 1735.209961	0.000 0.000 85.000
weapon_zm_mac10	-1941.579956 -1045.229980 1351.209961	0.000 0.000 85.000
weapon_zm_mac10	-1412.069946 -1053.790039 1351.209961	0.000 0.000 85.000
weapon_zm_mac10	-1097.530029 -617.104980 1351.209961	0.000 0.000 85.000
item_ammo_357_ttt	-179.296494 -1234.826294 2292.314697	0.446 0.072 0.062
item_ammo_357_ttt	-193.680054 -1233.866821 2292.340576	0.451 0.064 0.052
item_ammo_357_ttt	-212.338516 -1232.317383 2292.390137	0.462 0.050 0.032
item_ammo_357_ttt	-208.079681 -830.027466 2292.369385	0.435 0.988 0.003
item_ammo_357_ttt	-219.388947 -831.245728 2297.639160	-44.116 178.698 -180.000
item_ammo_357_ttt	-215.324356 -829.738770 2292.453369	1.222 -0.244 -0.766
item_ammo_357_ttt	-2323.428711 -521.827454 2132.360107	0.455 0.040 0.044
item_ammo_357_ttt	-2322.588623 -506.821747 2132.340332	0.451 0.065 0.052
item_ammo_357_ttt	-2315.232422 -528.199829 2132.348145	0.453 0.061 0.049
item_ammo_357_ttt	-2230.026611 -1268.883911 1764.403564	0.429 -1.547 0.025
item_ammo_357_ttt	-2224.151611 -1263.764282 1767.424194	89.232 173.431 164.019
item_ammo_357_ttt	-2210.232666 -1266.507324 1767.309937	89.043 -2.045 -0.011
item_ammo_357_ttt	-2481.258545 -1586.519043 1348.332275	0.450 0.063 0.055
item_ammo_357_ttt	-2471.382568 -1588.052979 1348.336426	0.451 0.061 0.053
item_ammo_357_ttt	-2465.116455 -527.142273 1380.407349	0.465 0.053 0.025
item_ammo_357_ttt	-2455.092285 -523.145325 1380.393677	0.462 0.049 0.031
item_ammo_357_ttt	-2445.026367 -524.717590 1380.355225	0.454 0.059 0.046
item_ammo_357_ttt	-2267.811768 -204.619110 1988.323730	0.448 0.017 0.058
item_ammo_357_ttt	-2252.982178 -207.619965 1988.319214	0.447 0.074 0.060
item_ammo_357_ttt	-2245.043213 -205.655243 1988.375854	0.459 0.055 0.038
item_ammo_357_ttt	-2259.525635 -220.179413 1988.344238	0.453 0.035 0.050
item_ammo_357_ttt	-2266.582031 -218.830460 1988.368286	0.457 0.057 0.041
item_ammo_357_ttt	-2246.776367 -224.659470 1988.338379	0.451 0.063 0.053
item_ammo_357_ttt	-1022.675659 -71.246063 2154.381592	0.398 -1.719 -0.130
item_ammo_357_ttt	-1016.474182 -66.382607 2157.359619	89.691 0.982 0.012
item_ammo_357_ttt	-1236.600098 12.602094 2112.348877	1.216 0.462 -0.046
item_ammo_357_ttt	-1227.842896 9.578010 2112.349854	0.454 0.038 0.047
item_ammo_357_ttt	-1219.715942 12.541681 2112.371338	0.459 0.045 0.039
item_ammo_357_ttt	-1092.152588 -757.967712 1716.356812	0.455 0.059 0.045
item_ammo_357_ttt	-1086.362427 -749.059692 1716.474609	1.739 -0.193 -0.838
item_ammo_357_ttt	-1080.800415 -738.604187 1716.476318	2.231 -0.134 -1.166
item_ammo_357_ttt	-2010.447754 -1347.293091 1348.319214	0.447 0.073 0.060
item_ammo_357_ttt	-1999.337158 -1346.335205 1348.330200	0.450 0.018 0.056
item_ammo_357_ttt	-1989.114380 -1346.023926 1348.430786	0.470 0.052 0.016
item_ammo_357_ttt	-895.033630 -855.838501 1348.379883	0.460 0.056 0.036
item_ammo_357_ttt	-902.000366 -854.476624 1348.334351	0.451 0.064 0.054
item_ammo_357_ttt	-231.193695 -1513.051636 2560.351807	0.457 0.062 0.047
item_ammo_357_ttt	-222.418579 -1511.677734 2560.357178	0.458 0.061 0.045
item_ammo_pistol_ttt	-1999.704590 -1162.191528 1605.399536	-0.088 -0.020 -0.027
item_ammo_pistol_ttt	-2007.049316 -1161.828369 1605.465332	-0.118 0.004 -0.088
item_ammo_pistol_ttt	-2016.042725 -1160.089233 1605.433350	-0.457 0.048 -0.359
item_ammo_pistol_ttt	-196.526459 -1196.024414 2292.459229	-0.348 0.034 -0.230
item_ammo_pistol_ttt	-204.563919 -1193.004883 2292.446289	-0.814 0.067 -0.596
item_ammo_pistol_ttt	-163.367233 -227.389221 2276.467285	-0.923 0.072 -0.481
item_ammo_pistol_ttt	-173.229584 -228.429337 2276.398438	-0.140 0.016 -0.029
item_ammo_pistol_ttt	-185.459106 -229.637436 2276.340576	-0.141 -0.019 -0.044
item_ammo_pistol_ttt	-197.430817 -227.465652 2276.398193	-0.089 -0.020 -0.028
item_ammo_pistol_ttt	-372.850006 -108.210365 2276.372559	-0.112 -0.020 -0.035
item_ammo_pistol_ttt	-384.970123 -109.299194 2276.328125	-0.152 -0.019 -0.047
item_ammo_pistol_ttt	-824.593750 -22.511045 1732.450317	1.210 -1.014 0.107
item_ammo_pistol_ttt	-810.906128 -20.720957 1732.409912	-0.579 0.029 -0.393
item_ammo_pistol_ttt	-799.877014 -19.501724 1732.372559	-0.112 -0.020 -0.035
item_ammo_pistol_ttt	-821.661926 -40.908646 1732.428467	0.706 -1.617 -0.110
item_ammo_pistol_ttt	-954.117920 -30.342125 1732.328125	-0.152 -0.019 -0.047
item_ammo_pistol_ttt	-966.086060 -31.814281 1732.362671	-0.121 -0.020 -0.038
item_ammo_pistol_ttt	-1267.158325 -113.965569 1732.486938	0.095 -0.231 0.040
item_ammo_pistol_ttt	-1260.782227 -122.218697 1735.388550	88.971 -159.846 -165.100
item_ammo_pistol_ttt	-2333.166504 -521.099121 2132.358398	-0.125 -0.020 -0.039
item_ammo_pistol_ttt	-2342.280518 -520.630249 2132.463379	0.558 0.166 0.050
item_ammo_pistol_ttt	-2348.523926 -511.721588 2135.241699	-89.980 168.941 180.000
item_ammo_pistol_ttt	-2246.791016 -649.888367 2292.437744	-0.572 1.041 -0.581
item_ammo_pistol_ttt	-2255.657959 -651.577026 2292.364746	-0.119 -0.020 -0.037
item_ammo_pistol_ttt	-2270.914551 -653.227112 2292.439697	-0.150 0.009 -0.132
item_ammo_pistol_ttt	-2246.470703 -670.462036 2292.317627	-0.161 -0.018 -0.050
item_ammo_pistol_ttt	-2341.200684 -1156.471924 2292.366699	-0.117 -0.020 -0.037
item_ammo_pistol_ttt	-2349.459229 -1154.150635 2292.372559	-0.112 -0.020 -0.035
item_ammo_pistol_ttt	-2332.864990 -1156.287842 2292.374512	-0.110 -0.020 -0.034
item_ammo_pistol_ttt	-2357.658691 -1157.891235 2292.380127	-0.105 -0.020 -0.033
item_ammo_pistol_ttt	-2469.789795 -1270.586304 2160.407471	-0.146 -0.014 -0.045
item_ammo_pistol_ttt	-2461.593506 -1270.635254 2160.444336	-0.366 0.024 -0.177
item_ammo_pistol_ttt	-2257.010010 -1116.751099 2012.417480	-0.072 -0.020 -0.022
item_ammo_pistol_ttt	-2251.279297 -1094.413452 2012.372803	-0.112 -0.020 -0.035
item_ammo_pistol_ttt	-2432.635498 -1268.722412 2012.358643	-0.124 -0.020 -0.039
item_ammo_pistol_ttt	-2421.374023 -1266.548340 2012.362915	-0.121 -0.020 -0.037
item_ammo_pistol_ttt	-2453.004150 -1268.512817 1764.434448	0.611 -0.050 0.221
item_ammo_pistol_ttt	-2446.955811 -1265.773071 1764.410645	-0.585 -0.172 0.045
item_ammo_pistol_ttt	-2438.913330 -1270.265381 1764.386963	-0.099 -0.020 -0.031
item_ammo_pistol_ttt	-2189.130859 -859.285034 1764.330688	-0.149 -0.019 -0.047
item_ammo_pistol_ttt	-2182.716553 -859.221680 1764.383545	-0.102 -0.020 -0.032
item_ammo_pistol_ttt	-2173.664307 -856.455933 1764.395142	-0.092 -0.020 -0.029
item_ammo_pistol_ttt	-2289.745117 -653.497131 1764.402588	-0.085 -0.020 -0.027
item_ammo_pistol_ttt	-2275.723389 -655.056824 1764.391968	-0.095 -0.020 -0.030
item_ammo_pistol_ttt	-2260.087158 -651.067139 1764.408203	-0.080 -0.020 -0.025
item_ammo_pistol_ttt	-2484.110352 -1569.584351 1348.436768	0.551 -0.165 0.230
item_ammo_pistol_ttt	-2478.392822 -1565.923340 1351.351562	89.042 176.449 -178.926
item_ammo_pistol_ttt	-2341.238281 -844.638916 1468.376587	-0.108 -0.020 -0.034
item_ammo_pistol_ttt	-2353.311768 -843.373230 1468.417358	-0.072 -0.020 -0.022
item_ammo_pistol_ttt	-2236.229004 -1147.269043 1468.408203	-0.080 -0.020 -0.025
item_ammo_pistol_ttt	-2228.377197 -1147.765747 1468.364990	-0.119 -0.020 -0.037
item_ammo_pistol_ttt	-2336.327637 -890.618652 1628.459595	0.201 0.298 0.083
item_ammo_pistol_ttt	-2326.254150 -876.878906 1631.293213	89.308 174.717 148.378
item_ammo_pistol_ttt	-2347.299316 -882.906738 1631.296143	-89.577 120.090 -125.799
item_ammo_pistol_ttt	-2459.944092 -330.542511 1380.353271	-0.230 -0.027 -0.088
item_ammo_pistol_ttt	-2450.793945 -330.505005 1380.328125	-0.152 -0.019 -0.047
item_ammo_pistol_ttt	-943.275146 -71.087151 2154.398438	1.082 0.123 0.181
item_ammo_pistol_ttt	-936.386902 -65.829887 2157.309326	89.169 175.546 -179.192
item_ammo_pistol_ttt	-921.375977 -66.690422 2154.427246	-0.139 0.093 -0.188
item_ammo_pistol_ttt	-1256.187744 14.041607 2112.420898	-0.069 -0.020 -0.022
item_ammo_pistol_ttt	-1248.444458 9.367796 2112.449219	-0.044 -0.020 -0.014
item_ammo_pistol_ttt	-375.743408 -236.335648 2032.422241	1.186 -0.034 -0.139
item_ammo_pistol_ttt	-382.852142 -236.795105 2032.419800	-0.412 0.035 -0.332
item_ammo_pistol_ttt	-548.354736 -262.581970 1732.364746	-0.119 -0.020 -0.037
item_ammo_pistol_ttt	-536.771973 -261.490845 1732.360474	-0.123 -0.020 -0.038
item_ammo_pistol_ttt	-293.414764 -820.781128 2116.439941	0.067 -0.223 0.118
item_ammo_pistol_ttt	-302.462585 -826.507324 2119.262939	-89.313 -105.882 138.195
item_ammo_pistol_ttt	-283.948181 -831.792969 2116.466797	-0.914 0.071 -0.475
item_ammo_pistol_ttt	-306.070099 -1372.826050 1972.419678	-0.070 -0.020 -0.022
item_ammo_pistol_ttt	-289.823303 -1374.643311 1972.374512	-0.110 -0.020 -0.034
item_ammo_pistol_ttt	-298.747070 -1376.044556 1972.370605	-0.114 -0.020 -0.035
item_ammo_pistol_ttt	-282.743317 -1379.481812 1972.383545	-0.102 -0.020 -0.032
item_ammo_pistol_ttt	-258.442108 -1465.292847 1972.352051	-0.130 -0.020 -0.041
item_ammo_pistol_ttt	-260.878052 -1447.008301 1972.475342	-0.195 0.931 -0.213
item_ammo_pistol_ttt	-1069.778564 -740.581360 1716.383789	0.021 0.031 0.004
item_ammo_pistol_ttt	-1059.617065 -738.309265 1716.413696	0.016 0.031 0.003
item_ammo_pistol_ttt	-1429.538330 -601.054504 1716.390259	-0.096 -0.020 -0.030
item_ammo_pistol_ttt	-1443.910645 -606.641418 1716.380005	-0.105 -0.020 -0.033
item_ammo_pistol_ttt	-1453.094360 -609.622314 1716.417358	-0.072 -0.020 -0.023
item_ammo_pistol_ttt	-1421.624146 -599.511902 1716.349731	-0.132 -0.020 -0.041
item_ammo_pistol_ttt	-1415.314697 -1004.125671 1716.330688	-0.149 -0.019 -0.047
item_ammo_pistol_ttt	-1426.008545 -993.906738 1716.409546	-0.079 -0.020 -0.025
item_ammo_pistol_ttt	-1441.157471 -984.317383 1716.443970	-0.049 -0.020 -0.015
item_ammo_pistol_ttt	-1457.547729 -994.661377 1716.479614	0.000 -0.962 0.120
item_ammo_pistol_ttt	-2004.153198 -1387.346191 1348.338379	-0.142 -0.019 -0.044
item_ammo_pistol_ttt	-1992.748047 -1386.880249 1348.427734	-0.063 -0.020 -0.020
item_ammo_pistol_ttt	-1929.244385 -1044.153320 1348.440063	-0.404 0.042 -0.308
item_ammo_pistol_ttt	-1922.211548 -1048.159546 1348.366943	-0.117 -0.020 -0.036
item_ammo_pistol_ttt	-1816.275269 -490.469025 1348.406860	-0.081 -0.020 -0.025
item_ammo_pistol_ttt	-1827.507324 -490.977783 1348.354492	-0.128 -0.020 -0.040
item_ammo_pistol_ttt	-1838.845337 -493.408691 1348.456299	-0.830 0.059 -0.523
item_ammo_pistol_ttt	-2520.831299 -20.244856 1348.362915	-0.119 -0.020 -0.037
item_ammo_pistol_ttt	-2510.307373 -21.552418 1348.398193	-0.089 -0.020 -0.028
item_ammo_pistol_ttt	-2500.015381 -21.672888 1348.388672	-0.098 -0.020 -0.030
item_ammo_pistol_ttt	-1749.245850 -5.010335 1348.451538	-1.208 0.091 -0.674
item_ammo_pistol_ttt	-1761.270996 -4.202492 1348.408813	-0.607 0.044 -0.446
item_ammo_pistol_ttt	-1776.970215 -4.699156 1348.390381	-0.096 -0.020 -0.030
item_ammo_pistol_ttt	-1054.962158 -183.660110 1428.441040	-0.643 -0.072 0.032
item_ammo_pistol_ttt	-1069.241577 -183.287247 1428.456787	0.736 2.872 0.085
item_ammo_pistol_ttt	-880.131531 -14.356689 1428.396606	-0.091 -0.020 -0.028
item_ammo_pistol_ttt	-890.563232 -15.456955 1428.378052	-0.107 -0.020 -0.033
item_ammo_pistol_ttt	-1038.359497 205.089096 1431.362915	-0.121 -0.020 -0.038
item_ammo_pistol_ttt	-1029.769043 203.581161 1431.410889	-0.078 -0.020 -0.024
item_ammo_pistol_ttt	-1017.400024 210.344910 1431.408813	0.246 -0.163 0.190
item_ammo_pistol_ttt	-403.780151 197.552429 1448.347412	-0.134 -0.020 -0.042
item_ammo_pistol_ttt	-417.083130 176.406540 1448.435791	-0.056 -0.020 -0.017
item_ammo_pistol_ttt	-440.341248 -178.469330 1444.338379	-0.142 -0.019 -0.044
item_ammo_pistol_ttt	-425.855804 -180.643402 1444.340820	-0.140 -0.019 -0.044
item_ammo_pistol_ttt	-412.418854 -181.149185 1444.336060	-0.145 -0.019 -0.045
item_ammo_pistol_ttt	-279.883667 -255.888718 1444.383301	-0.256 0.024 -0.212
item_ammo_pistol_ttt	-269.305420 -224.200974 1444.409546	-0.079 -0.020 -0.025
item_ammo_pistol_ttt	-253.596664 -226.437317 1444.385376	-0.101 -0.020 -0.031
item_ammo_pistol_ttt	-327.712494 -959.278381 1372.372803	-0.112 -0.020 -0.035
item_ammo_pistol_ttt	-319.309265 -961.106445 1372.352173	-0.130 -0.020 -0.040
item_ammo_pistol_ttt	-350.112579 -1234.354614 1372.336060	-0.145 -0.019 -0.045
item_ammo_pistol_ttt	-356.562164 -1232.392456 1372.383789	-0.102 -0.020 -0.032
item_ammo_pistol_ttt	-364.909790 -1233.351318 1372.413696	-0.075 -0.020 -0.023
item_ammo_pistol_ttt	-372.807404 -1231.270874 1372.323120	-0.156 -0.019 -0.049
item_ammo_pistol_ttt	-271.050751 -1531.979980 1372.330933	-0.149 -0.019 -0.046
item_ammo_pistol_ttt	-278.330872 -1537.430664 1372.432983	-0.058 -0.020 -0.018
item_ammo_pistol_ttt	-289.583313 -1536.856201 1372.354492	-0.128 -0.020 -0.040
item_ammo_pistol_ttt	-272.180145 -1545.658691 1556.340820	-0.140 -0.019 -0.044
item_ammo_pistol_ttt	-264.151581 -1549.510010 1556.338379	-0.142 -0.019 -0.044
item_ammo_pistol_ttt	-496.412231 -1530.642578 1708.435181	0.858 -0.403 0.361
item_ammo_pistol_ttt	-490.039032 -1520.470215 1708.448730	-0.999 1.442 -0.000
item_ammo_pistol_ttt	-367.592957 -1372.510864 1708.356323	-0.126 -0.020 -0.039
item_ammo_pistol_ttt	-363.501190 -1390.804199 1708.347290	-0.202 -0.012 -0.046
item_ammo_pistol_ttt	-193.410538 -950.609680 1708.349731	-0.132 -0.020 -0.041
item_ammo_pistol_ttt	-203.619644 -954.038574 1708.361328	-0.141 0.057 -0.123
item_ammo_pistol_ttt	-212.096130 -957.015930 1708.378052	-0.107 -0.020 -0.033
item_ammo_pistol_ttt	-858.765991 -1440.647827 1348.409546	-0.079 -0.020 -0.025
item_ammo_pistol_ttt	-870.165710 -1441.217529 1348.406860	-0.081 -0.020 -0.025
item_ammo_pistol_ttt	-1185.420654 -1289.353760 1348.439453	-0.053 -0.020 -0.016
item_ammo_pistol_ttt	-1199.419312 -1290.711182 1348.356567	-0.126 -0.020 -0.039
item_ammo_pistol_ttt	-1407.918091 -1076.049072 1348.378296	-0.107 -0.020 -0.033
item_ammo_pistol_ttt	-1419.829590 -1078.126709 1348.338379	-0.142 -0.019 -0.044
item_ammo_pistol_ttt	-863.804321 -851.733887 1348.368896	-0.115 -0.020 -0.036
item_ammo_pistol_ttt	-856.734802 -849.127563 1348.391968	-0.095 -0.020 -0.029
item_ammo_pistol_ttt	-1414.341064 -644.235535 1348.340820	-0.140 -0.019 -0.044
item_ammo_pistol_ttt	-1408.296875 -643.836792 1348.352173	-0.130 -0.020 -0.040
item_ammo_pistol_ttt	-1459.292358 -392.805206 1348.490845	-0.215 0.232 -0.100
item_ammo_pistol_ttt	-1453.206055 -409.690033 1348.464600	-0.687 -1.436 -0.000
item_ammo_pistol_ttt	-955.449219 -248.471878 1348.328369	-0.151 -0.019 -0.047
item_ammo_pistol_ttt	-947.759949 -246.880432 1348.349976	-0.132 -0.020 -0.041
item_ammo_pistol_ttt	-938.833557 -248.657639 1348.349976	-0.132 -0.020 -0.041
item_ammo_pistol_ttt	-1641.208984 -1582.492798 1348.343018	-0.138 -0.019 -0.043
item_ammo_pistol_ttt	-1653.386230 -1581.260376 1348.478027	1.043 -0.144 0.332
item_ammo_pistol_ttt	-1316.881958 -1616.373779 2344.407471	-0.294 0.058 0.042
item_ammo_pistol_ttt	-1305.534180 -1614.126587 2344.412109	-0.077 -0.020 -0.024
item_ammo_pistol_ttt	-1295.123413 -1615.749390 2344.372559	-0.112 -0.020 -0.035
weapon_zm_molotov	-209.237595 -889.269165 2292.195557	-1.254 -1.495 -0.688
weapon_zm_molotov	-222.724731 -1159.679810 2292.151611	-2.867 -1.205 -1.572
weapon_zm_molotov	-225.659653 -208.671265 2277.207275	-13.471 32.519 -39.871
weapon_zm_molotov	-280.298523 -162.924332 2277.692627	19.504 43.671 -90.344
weapon_zm_molotov	-801.370972 -74.956055 1732.158325	-2.618 -1.234 -1.434
weapon_zm_molotov	-1000.524597 -35.778481 1732.202026	-1.016 -1.505 -0.557
weapon_zm_molotov	-1224.792236 -133.769913 1732.180542	-1.799 -1.447 -0.984
weapon_zm_molotov	-1016.864929 52.799957 2114.116699	24.974 -109.170 90.802
weapon_zm_molotov	-914.253662 56.101601 2114.004639	25.940 -87.057 89.127
weapon_zm_molotov	-309.935547 -556.877319 1708.197021	-1.198 -1.498 -0.657
weapon_zm_molotov	-257.336151 -410.792725 1708.178467	-1.880 -1.442 -1.031
weapon_zm_molotov	-406.607117 -327.116974 1708.206543	-0.837 -1.509 -0.459
weapon_zm_molotov	-770.902771 -297.995880 1348.173828	-2.058 -1.402 -1.128
weapon_zm_molotov	-1105.622925 -208.412567 1350.113525	25.403 -87.545 91.461
weapon_zm_molotov	-1556.660645 -44.137394 1348.192383	-1.372 -1.490 -0.752
weapon_zm_molotov	-1743.445801 -43.675781 1348.162476	-2.466 -1.325 -1.352
weapon_zm_molotov	-2007.858521 -232.363556 1348.188843	-1.501 -1.481 -0.823
weapon_zm_molotov	-2097.800049 -420.505768 1349.771973	-48.849 -86.741 -86.472
weapon_zm_molotov	-2078.715088 -717.307068 1349.474609	19.041 56.383 -88.105
weapon_zm_molotov	-2328.638184 -668.406128 1766.110840	25.409 -157.771 90.757
weapon_zm_molotov	-2196.774170 -790.807129 1764.178589	-1.880 -1.442 -1.031
weapon_zm_molotov	-2188.185791 -1029.928955 1768.215210	27.053 -91.740 106.744
weapon_zm_molotov	-2320.232666 -1109.009888 1764.165649	-2.357 -1.358 -1.292
weapon_zm_molotov	-2142.569824 -1219.977173 1765.157349	-2.658 -1.239 -1.458
weapon_zm_molotov	-1978.848633 -1389.460693 1348.167603	-2.288 -1.366 -1.252
weapon_zm_molotov	-1757.548828 -1548.248413 1348.186279	-1.595 -1.475 -0.873
weapon_zm_molotov	-1237.112671 -1260.113159 1544.165527	-2.357 -1.359 -1.291
weapon_zm_molotov	-1204.160522 -1266.503174 1349.491333	18.368 51.057 -89.133
weapon_zm_molotov	-862.602356 -1427.175293 1349.507690	17.635 -59.934 -89.998
weapon_zm_molotov	-883.944824 -30.213135 1428.175537	-1.997 -1.430 -1.095
weapon_ttt_confgrenade	-220.726181 -1205.281494 2294.099365	-35.804 -56.655 -90.093
weapon_ttt_confgrenade	-237.396759 -1222.441040 2294.096680	-35.761 -56.697 -90.029
weapon_ttt_confgrenade	-220.765625 -852.696716 2294.091309	-35.680 -56.777 -89.904
weapon_ttt_confgrenade	-251.790161 -1487.540283 2562.140625	-37.261 -50.736 -91.296
weapon_ttt_confgrenade	-1099.120361 -699.942810 1718.096558	-35.760 -56.634 -90.027
weapon_ttt_confgrenade	-1227.072998 -708.306885 1718.211182	-37.531 -54.816 -92.823
weapon_ttt_confgrenade	-1322.526978 -1085.544556 1718.126709	-36.235 -56.211 -90.748
weapon_ttt_confgrenade	-1116.946655 -1007.890625 1718.303711	13.091 26.247 -93.247
weapon_ttt_confgrenade	-1157.452026 -894.227234 1718.101074	-35.832 -56.569 -90.136
weapon_ttt_confgrenade	-916.860840 -68.995949 1734.200684	38.974 -111.402 87.390
weapon_ttt_confgrenade	-637.147034 -175.723862 1734.421387	39.443 -39.162 -92.385
weapon_ttt_confgrenade	-1081.217163 -127.368935 1732.228760	-2.387 -3.095 5.995
weapon_ttt_confgrenade	-922.439819 -146.372559 1734.081909	-35.542 -56.901 -89.695
weapon_ttt_confgrenade	-1130.109985 -112.775871 1757.584839	-38.435 -44.455 -90.519
weapon_ttt_confgrenade	-704.367737 -651.008789 1350.259399	-38.293 -53.986 -94.102
weapon_ttt_confgrenade	-581.854858 -968.579346 1350.075928	-35.450 -56.952 -89.555
weapon_ttt_confgrenade	-635.759399 -1033.668335 1350.159790	-36.733 -55.722 -91.531
weapon_ttt_confgrenade	-849.271240 -1319.449707 1350.166748	-36.835 -55.608 -91.694
weapon_ttt_confgrenade	-908.129150 -1108.798218 1350.197998	-37.321 -55.093 -92.478
weapon_ttt_confgrenade	-770.036499 -1168.923706 1350.170776	-36.894 -55.550 -91.789
weapon_ttt_confgrenade	-788.686584 -983.292908 1350.175293	-36.962 -55.478 -91.900
weapon_ttt_confgrenade	-921.053406 -1277.473633 1350.134033	-36.343 -56.113 -90.921
weapon_ttt_confgrenade	-1101.511841 -1565.600220 1350.186890	-37.141 -55.310 -92.189
weapon_ttt_confgrenade	-1632.672974 -1339.952026 1350.140869	-36.447 -56.009 -91.081
weapon_ttt_confgrenade	-1696.897705 -1285.633789 1350.136963	-36.388 -56.070 -90.990
weapon_ttt_confgrenade	-1493.108765 -1130.134155 1718.097046	-35.775 -56.700 -90.042
weapon_ttt_confgrenade	-1991.436768 -1405.539673 1350.135010	-36.356 -56.099 -90.942
weapon_ttt_confgrenade	-1844.901733 -1362.444580 1350.123779	-36.184 -56.270 -90.676
weapon_ttt_confgrenade	-1885.868042 -1590.045532 1350.132935	-36.323 -56.132 -90.891
weapon_ttt_confgrenade	-2034.661865 -1338.294800 1350.186890	15.693 114.575 -91.166
weapon_ttt_confgrenade	-2014.667603 -1415.570312 1350.183472	10.028 54.418 -91.993
weapon_ttt_confgrenade	-1740.779419 -74.136414 1350.120483	-36.131 -56.366 -90.594
weapon_ttt_confgrenade	-1781.957031 31.389418 1348.672729	18.676 -0.530 -37.045
weapon_ttt_confgrenade	-2090.993652 -220.543045 1350.068970	16.785 10.306 -88.585
weapon_ttt_confgrenade	-2082.828857 -437.347137 1350.545532	41.428 39.980 -95.134
weapon_ttt_confgrenade	-2078.659912 -301.398224 1350.006714	12.463 -18.214 -88.605
weapon_ttt_confgrenade	-2226.274414 -590.661316 1350.322510	11.070 -119.982 93.482
weapon_ttt_confgrenade	-2059.578857 -365.120209 1350.445679	10.670 68.418 -96.166
